Wavelength,PAN,BLUE,GREEN,RED,NIR
713,9.601E-01,3.244E-04,2.008E-07,6.982E-06,1.103E-06
714,9.560E-01,2.059E-04,1.443E-07,5.522E-06,1.234E-06
715,9.516E-01,1.200E-04,9.456E-08,4.428E-06,1.408E-06
716,9.472E-01,7.135E-05,6.549E-08,3.570E-06,1.671E-06
717,9.428E-01,4.524E-05,7.304E-08,2.905E-06,2.133E-06
718,9.384E-01,3.069E-05,8.104E-08,2.461E-06,2.322E-06
719,9.360E-01,2.231E-05,8.352E-08,2.165E-06,2.832E-06
720,9.338E-01,1.693E-05,8.268E-08,1.844E-06,3.457E-06
721,9.315E-01,1.338E-05,6.627E-08,1.527E-06,4.140E-06
722,9.293E-01,1.108E-05,3.291E-08,1.286E-06,5.030E-06
