Wavelength,Pan,Green,Blue,Red,NIR,RedEdge,BlueCoastal
573,0.875080317,0.974340831,0.000385878,3.31272E-06,2.05919E-05,2.88386E-06,0.009998029
574,0.873754139,0.965982185,0.000371605,9.75058E-07,1.96697E-05,2.52455E-06,0.007937412
575,0.87294678,0.956405387,0.00036831,2.25978E-06,2.17224E-05,2.22048E-06,0.003854147
576,0.873288232,0.952657433,0.000374111,6.72446E-06,2.7582E-05,1.93291E-06,0.001074465
577,0.874775954,0.95876548,0.000386907,1.77876E-05,3.77141E-05,1.35649E-06,0.000184951
578,0.877659716,0.974567102,0.000402637,4.55791E-05,5.16281E-05,1.62157E-06,4.21655E-05
579,0.881613885,0.991424812,0.000409692,0.000100186,6.82809E-05,1.40085E-06,2.68865E-05
580,0.886214177,1,0.000399877,0.000193224,8.39677E-05,1.40095E-06,3.12754E-05
581,0.890785931,0.997304545,0.000378417,0.000317075,9.33858E-05,1.96252E-06,0.000101618
582,0.895144393,0.987688394,0.000355065,0.000446344,9.80085E-05,3.49658E-06,0.000294707
583,0.899077271,0.978072421,0.000337095,0.000502618,0.000103661,6.53474E-06,0.000542576
584,0.901973998,0.968570279,0.000324777,0.000462499,0.00011176,1.05178E-05,0.00071386
585,0.904402345,0.954067867,0.000319959,0.000404843,0.000115468,1.94775E-05,0.000751717
586,0.906320668,0.92706541,0.000320395,0.000376185,0.000109822,3.90899E-05,0.000809522
587,0.907460515,0.881053554,0.000324551,0.000327789,9.50035E-05,7.26286E-05,0.001195905
588,0.908233645,0.808504822,0.000336778,0.00023685,7.52129E-05,0.000111759,0.001965924
589,0.908694237,0.699641288,0.000355035,0.000150911,5.61971E-05,0.000145025,0.002639706
590,0.909313541,0.555115195,0.00037633,0.000104306,4.26613E-05,0.000160484,0.002768053
591,0.909902031,0.396189061,0.000392378,8.90628E-05,3.76348E-05,0.000156127,0.002654551
592,0.910662992,0.254988567,0.000400375,8.59834E-05,3.85118E-05,0.000134279,0.002890675
